Izsaukuma laiks,"Pacienta vecums, gadi","Dzimums, 1 - sieviete, 2- vīrietis",Unnamed: 3,NMP pamata diagnoze: G45.9 -1; I64 - 2; I63.9 - 3  ,Nogādāšanas laiks PSKUS,"GKS skala, 1 - nav izvērtēts","FastTest skala: N Negatīvs - 1; P>60 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ≥ 60% - 2; P<15 Pozitīvs, lielo asinsvadu oklūzijas iespējamība <15% - 3; P>30 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ap 30% - 4; nav izvērtēts - 5",Uzņemšanas rezultāts,Pārvests uz,Karte,Personas kods,Iestāšanās diagnoze,Iestāšanās diagnozes nosaukums,Izrakstīšanas diagnoze,Izrakstīšanas diagnozes nosaukums,Iestāšanās laiks,Izrakstīšanas laiks,Izr_dat,Izr_mēn,Izr_gads,Izr_kustība,Izr_kustības nosaukums,Izr_nodaļa,Izr_nodaļas nosaukums,Izr_profils,Izr_profila nosaukums,Pacienta uzvārds
2024-01-19 04:07:00,61,2,,1,2024-01-19 05:11:00,12,4,Hospitalized,Neurology,K202400241,210163-14209,G45.9,"Transient cerebral ischemic attack, unspecified",I50.9,"Heart failure, unspecified",2024-01-19 05:44:00,2024-01-26 17:44:00,26,1,2024,1,Discharged home,202,Stroke unit,10,Neurology,Jansons
2024-03-22 13:13:00,70,1,,3 ,2024-03-22 15:54:00,13,4,outpatient,Neurology,K202400242,040554-23683,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",22/03/2024 16:35,2024-03-31 02:35:00,31,3,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Kļaviņš
25.03.2025 10:31,38,2,,3,2025-03-25 12:57:00,8,2,Hospitalized,ICU,K202500243,010324-86962,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",2025-03-25 13:12:00,2025-04-01 22:12:00,1,4,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Petrova
2025-05-12 05:19:00,83,1,,2,2025-05-12 07:09:00,13,2,Hospitalized,Stroke unit,K202500244,250342-50572,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",2025-05-12 07:51:00,2025-05-25 15:51:00,25,5,2025,2,Transferred to another hospital,404,Admission ward,30,Internal medicine,Bērziņš
29/06/2024 12:56,50,2,,1,2024-06-29 14:27:00,9,3,Hospitalized,Neurology,K202400245,021168-91345,G45.9,"Transient cerebral ischemic attack, unspecified",I50.9,"Heart failure, unspecified",29.06.2024 14:55,2024-07-13 05:55:00,13,7,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Krūmiņš
01/08/2025 02:13,67,1,,2,01.08.2025 02:47,8,3,Outpatient,,K202500246,190658-14105,I64,"Stroke, not specified as hemorrhage or infarction",I64,"Stroke, not specified as hemorrhage or infarction",2025-08-01 03:10:00,2025-08-11 03:10:00,11,8,2025,1,Discharged home,101,Neurology ward,30,Internal medicine,Kļaviņš
2025-01-12 20:20:00,65,1,,1,2025-01-12 22:27:00,15,2,Transferred,Neurology,K202500247,131060-11301,G45.9,"Transient cerebral ischemic attack, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",12.01.2025 22:51,2025-01-24 16:51:00,24,1,2025,4,Continues treatment,101,Neurology ward,30,Internal medicine,Kalniņa
2024-01-06 08:30:00,63,1,x,3,2024-01-06 11:31:00,3,1,Hospitalized,Home,K202400248,270661-57683,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",2024-01-06 12:11:00,19.01.2024 15:11,19,1,2024,1,Discharged home,202,Stroke unit,10,Neurology,Bērziņš
29.09.2025 03:30,94,1,,3,29/09/2025 04:14,12,3,Hospitalized,ICU,K202500249,070731-39213,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",29.09.2025 04:22,2025-10-11 02:22:00,11,10,2025,1,Discharged home,202,Stroke unit,10,Neurology,Vītola
2025-08-26 23:23:00,77,1,,3,2025-08-27 01:27:00,1,1,Transferred,Home,K202500250,200448-94467,I63.9,"Cerebral infarction, unspecified",R56.8,Other and unspecified convulsions,27.08.2025 01:32,2025-09-09 04:32:00,9,9,2025,1,Discharged home,101,Neurology ward,30,Internal medicine,Lapiņš
2025-04-14 12:51:00,55,1,,1,14.04.2025 13:11,13,1,Hospitalized,Another hospital,K202500251,211170-56939,G45.9,"Transient cerebral ischemic attack, unspecified",K35.8,"Acute appendicitis, other and unspecified",2025-04-14 13:54:00,2025-04-27 01:54:00, 7,4,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Grīnbergs
2024-09-20 01:23:00,83,2,,3,2024-09-20 02:34:00,3,4,Hospitalized,Neurology,K202400252,060341-49158,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",2024-09-20 03:02:00,24.09.2024 22:02,24,9,,4,Continues treatment,202,Stroke unit,30,Internal medicine,Grīnbergs
11/11/2024 23:13,93,1,,1,2024-11-12 00:03:00,7,1,Hospitalized,ICU,K202400253,220407-46842,G45.9,"Transient cerebral ischemic attack, unspecified",J18.9,"Pneumonia, unspecified organism",2024-11-12 00:23:00,2024-11-22 07:23:00,22,11,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Petrovs
19.02.2024 03:59,85,2,,3 ,2024-02-19 05:32:00,13,4,Hospitalized,icu,K202400254,120639-29010,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2024-02-19 06:13:00,2024-02-26 11:13:00,26,2,2024,1,Discharged home,101,Neurology ward,10,Neurology,Ozoliņa
2025-09-25 19:32:00,52,2,,2,25/09/2025 20:02,1,5,Hospitalized,Stroke unit,K202500255,011073-70525,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",2025-09-25 20:36:00,03.10.2025 03:36,3,10,2025,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Bērziņa
2024-06-25 19:41:00,65,1,,1,2024-06-25 20:11:00,4,5,Hospitalized,Stroke unit,K202400256,230159-16880,G45.9,"Transient cerebral ischemic attack, unspecified",J18.9,"Pneumonia, unspecified organism",2024-06-25 20:14:00,2024-06-30 05:14:00,30,6,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Pavlovs
2024-06-27 05:15:00,88,1,,3,2024-06-27 07:38:00,8,4,Hospitalized,Stroke unit,K202400257,281236-36986,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",27.06.2024 07:58,2024-06-29 09:58:00,29,6,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Bērziņa
2025-06-13 14:16:00,62,2,,3,2025-06-13 16:45:00,13,1,Hospitalized,Stroke unit,K202500258,150163-34514,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",2025-06-13 17:00:00,2025-06-26 08:00:00,26,6,2025,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Vītols
2025-02-05 20:18:00,77,2,,3,2025-02-05 21:03:00,12,5,Hospitalized,Stroke unit,K202500259,231248-63026,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",05.02.2025 21:09,2025-02-11 21:09:00,11,2,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Andersone
11.04.2024 03:36,82,2,,02,11/04/2024 04:30,12,2,Died in admission unit,Home,K202400260,011042-74003,I63.9,"Cerebral infarction, unspecified",N39.0,"Urinary tract infection, site not specified",2024-04-11 04:33:00,11.04.2024 07:33,11,4,2024,3,Died in hospital,404,Admission ward,30,Internal medicine,AVOTIŅŠ
14.03.2025 13:23,59,2,,1,14/03/2025 15:53,1,5,Died in admission unit,Stroke unit,K202500261,120766-37041,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2025-03-14 16:36:00,2025-03-14 17:36:00,14,3,2025,3,Died in hospital,404,Admission ward,30,Internal medicine,Kalniņa
2025-05-14 22:18:00,71,1,,2,2025-05-15 00:32:00,15,4,Died in admission unit,Neurology,K202500262,100954-91762,I64,"Stroke, not specified as hemorrhage or infarction",G45.9,"Transient cerebral ischemic attack, unspecified",2025-05-15 01:11:00,2025-05-15 12:11:00,15,5,2025,3,Died in hospital,404,Admission ward,30,Internal medicine,Jansons
2024-08-13 18:56:00,29,2,,1,2024-08-13 20:04:00,11,1,Hospitalized,Stroke unit,K202400263,200595-50728,G45.9,"Transient cerebral ischemic attack, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-08-13 20:34:00,28/08/2024 15:34,28,8,2024,2,Transferred to another hospital,202,Stroke unit,10,Neurology,Balode
04.06.2025 17:35,58,2,,02,2025-06-04 19:38:00,1,3,Hospitalized,Stroke unit,K202500264,101067-17017,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",2025-06-04 20:10:00,2025-06-11 14:10:00,11,6,2025,4,Continues treatment,202,Stroke unit,30,Internal medicine,Pavlovs
2024-10-25 15:31:00,68,2,,1,2024-10-25 18:32:00,8,2,Transferred,Neurology,K202400265,040456-72094,G45.9,"Transient cerebral ischemic attack, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2024-10-25 18:44:00,2024-10-30 08:44:00,30,10,2024,,Discharged home,101,Neurology ward,10,Neurology,Vītols
2024-10-18 18:46:00,55,2,,2,2024-10-18 19:29:00,10,4,Hospitalized,Stroke unit,K202400266,010769-86092,I64,"Stroke, not specified as hemorrhage or infarction",G93.4,"Encephalopathy, unspecified",18/10/2024 20:09,2024-10-28 01:09:00,28,10,2024,4,Continues treatment,101,Neurology ward,30,Internal medicine,Romanovs
2025-05-27 10:38:00,93,2,,3,2025-05-27 11:31:00,13,4,transferred,Neurology,K202500267,250932-96364,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",2025-05-27 11:51:00,04/06/2025 19:51,4,6,2025,3,Died in hospital,202,Stroke unit,10,Neurology,Balode
2024-09-10 09:40:00,53,2,,3,2024-09-10 11:45:00,1,2,Outpatient,Neurology,K202400268,151271-59496,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",10.09.2024 11:52,2024-09-18 18:52:00, 7,9,2024,2,Transferred to another hospital,202 ,ICU,20,Intensīvā terapija,Liepiņš
2025-05-11 04:43:00,66,2,,2,2025-05-11 05:54:00,13,3,Transferred,Home,K202500269,100959-23226,I64,"Stroke, not specified as hemorrhage or infarction",N39.0,"Urinary tract infection, site not specified",11.05.2025 06:33,13/05/2025 00:33,13,5,2025,1,Discharged home,202,Stroke unit,10,Neurology,Jansons
2024-06-10 11:20:00,73,2,,3,10/06/2024 11:46,9,1,Hospitalized,Neurology,K202400270,201051-14634,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",2024-06-10 12:10:00,2024-06-17 20:10:00,17,6,2024,4,Continues treatment,202,Stroke unit,10,Neurology,kalniņš
2025-07-06 12:35:00,90,1,,3,06/07/2025 13:06,13,4,Hospitalized,stroke unit,K202500271,020735-41217,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2025-07-06 13:33:00,2025-07-16 05:33:00,16,7,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Ivanovs
2025-11-28 03:49:00,53,1,,1,2025-11-28 06:26:00,10,4,Transferred,Stroke unit,K202500272,170472-45066,G45.9,"Transient cerebral ischemic attack, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2025-11-28 06:42:00,2025-12-05 00:42:00,5,12,2025,4,Continues treatment,,ICU,20,Intensīvā terapija,Bērziņa
2025-10-22 20:09:00,87,1,,3,2025-10-22 20:35:00,8,5,Hospitalized,Stroke unit,K202500273,070438-59719,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",2025-10-22 20:55:00,05.11.2025 04:55,5, 02,2025,1,Discharged home,101,Neurology ward,30,Internal medicine,Ozols
24/03/2024 04:26,72,2,,3,2024-03-24 05:57:00,10,3,Hospitalized,Stroke unit,K202400274,260552-99469,I63.9,"Cerebral infarction, unspecified",E11.9,Type 2 diabetes mellitus without complications,24.03.2024 06:34,2024-04-01 17:34:00,1,4,2024,1,Discharged home,404,Admission ward,10,Neurology,Bērziņš
2025-11-10 07:14:00,59,2,,3,2025-11-10 09:54:00,9,3,Transferred,Neurology,K202500275,080366-92619,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",2025-11-10 10:10:00,12/11/2025 02:10,12,11,202X,1,Discharged home,101,Neurology ward,30,Internal medicine,Avotiņš
08/10/2025 08:22,78,1,,2,08/10/2025 10:03,9,5,Hospitalized,Home,K202500276,121147-71693,I64,"Stroke, not specified as hemorrhage or infarction",K35.8,"Acute appendicitis, other and unspecified",08.10.2025 10:42,11.10.2025 19:42,11,10,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Siliņš
2024-04-24 05:51:00,74,1,,3,2024-04-24 08:36:00,11,2,Transferred,Neurology,K202400277,101050-41985,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",2024-04-24 09:19:00,2024-04-25 19:19:00,25,4,2024,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Kļaviņš
2024-07-01 10:53:00,64,1,,3,01/07/2024 12:55,12,3,outpatient,stroke unit,K202400278,060460-69515,I63.9,"Cerebral infarction, unspecified",J18.9,"Pneumonia, unspecified organism",2024-07-01 13:35:00,10.07.2024 14:35,10,7,2024,1,Discharged home,404,Admission ward,30,Internal medicine,Jansone
2025-05-05 06:26:00,72,1,,3,2025-05-05 06:55:00,12,2,Hospitalized,Neurology,K202500279,271053-76764,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",2025-05-05 07:02:00,2025-05-14 22:02:00,14,5,2025,1,Discharged home,202,Stroke unit,10,Neurology,Liepiņa
08/04/2025 23:07,66,1,,1,09.04.2025 00:18,10,5,Hospitalized,Stroke unit,K202500280,200559-23909,G45.9,"Transient cerebral ischemic attack, unspecified",R56.8,Other and unspecified convulsions,2025-04-09 00:48:00,11.04.2025 20:48,,4,2025,1,Discharged home,202,Stroke unit,10,Neurology,Balodis
2024-06-08 15:19:00,73,1,,2,2024-06-08 17:27:00,7,5,Hospitalized,Another hospital,K202400281,090651-69436,I64,"Stroke, not specified as hemorrhage or infarction",I21.9,"Acute myocardial infarction, unspecified",08.06.2024 18:01,2024-06-10 18:01:00,10,6,2024,,Continues treatment,101,Neurology ward,10,Neurology,Miezītis
2024-10-11 23:27:00,80,1,,3,2024-10-12 00:32:00,8,1,Transferred,ICU,K202400282,230744-44481,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",2024-10-12 01:06:00,2024-10-12 10:06:00,12,10,2024,1,Discharged home,202,Stroke unit,10,Neurology,Ozols
2025-09-03 01:52:00,92,2,,2,2025-09-03 03:58:00,5,5,Hospitalized,Stroke unit,K202500283,010433-48132,I64,"Stroke, not specified as hemorrhage or infarction",I21.9,"Acute myocardial infarction, unspecified",2025-09-03 04:08:00,2025-09-06 05:08:00,6,9,2025,4,Continues treatment,202,Stroke unit,30,Internal medicine,Ozoliņa
2024-10-27 07:14:00,55,1,,3,2024-10-27 10:09:00,8,3,Outpatient,Home,K202400284,210269-16450,I63.9,"Cerebral infarction, unspecified",R56.8,Other and unspecified convulsions,2024-10-27 10:51:00,29.10.2024 16:51,29,10,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Pavlovs
2025-03-15 01:00:00,75,1,,1,15.03.2025 01:49,12,1,Hospitalized,Stroke unit,K202500285,200921-29902,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2025-03-15 02:16:00,16/03/2025 23:16,16,3,2025,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Liepiņa
2024-12-22 05:52:00,46,2,,3,2024-12-22 07:45:00,12,3,Hospitalized,Home,K202400286,031178-22502,I63.9,"Cerebral infarction, unspecified",A41.9,"Sepsis, unspecified organism",2024-12-22 08:22:00,2025-01-01 04:22:00,1,1,2025,9,Discharged home,202,Stroke unit,30,Internal medicine,
31.10.2024 16:54,70,2,,3,2024-10-31 18:32:00,7,3,Hospitalized,ICU,K202400287,060154-78149,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,2024-10-31 19:16:00,2024-11-02 20:16:00,2,11,2024,4,Continues treatment,202,Stroke unit,10,Neurology,Jansone
2025-06-25 05:28:00,79,1,,1,2025-06-25 07:59:00,13,5,Hospitalized,Neurology,K202500288,010846-51640,G45.9,"Transient cerebral ischemic attack, unspecified",S72.0,Fracture of neck of femur,2025-06-25 08:15:00,2025-06-30 03:15:00,30,6,2025,4,Continues treatment,404,Admission ward,10,Neurology,Kalniņa
2025-09-12 15:34:00,75,2,,2,12.09.2025 17:35,11,4,Hospitalized,Stroke unit,K202500289,211050-60193,I64,"Stroke, not specified as hemorrhage or infarction",S72.0,Fracture of neck of femur,12/09/2025 17:54,2025-09-17 15:54:00,17,9,2025,1,Discharged home,101,Neurology ward,10,Neurology,Miezītis
02.10.2025 08:14,63,2,x,2,2025-10-02 10:40:00,7,2,Hospitalized,icu,K202500290,230562-28728,I64,"Stroke, not specified as hemorrhage or infarction",I64,"Stroke, not specified as hemorrhage or infarction",02.10.2025 10:50,2025-10-13 21:50:00,13,10,2025,1,Discharged home,101,Neurology ward,10,Neurology,Kļaviņa
2024-01-16 13:01:00,69,2,,3,16/01/2024 13:20,8,1,Hospitalized,Another hospital,K202400291,091255-45936,I63.9,"Cerebral infarction, unspecified",S72.0,Fracture of neck of femur,16.01.2024 14:00,29.01.2024 20:00,29, 02,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Kalniņa
2024-06-22 22:16:00,65,1,,2,2024-06-23 00:53:00,1,1,Hospitalized,Home,K202400292,140759-97519,I64,"Stroke, not specified as hemorrhage or infarction",I63.9,"Cerebral infarction, unspecified",23.06.2024 01:13,2024-06-30 03:13:00,30,6,2024,4,Continues treatment,101,Neurology ward,30,Internal medicine,Ozoliņa
18.06.2024 07:38,64,1,,3,2024-06-18 08:43:00,11,5,Outpatient,Stroke unit,K202400293,211160-35046,I63.9,"Cerebral infarction, unspecified",S72.0,Fracture of neck of femur,2024-06-18 09:06:00,26/06/2024 16:06,26,6,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Kļaviņa
2024-09-05 06:31:00,39,2,,1,2024-09-05 09:14:00,15,2,Hospitalized,Stroke unit,K202400294,090441-38607,G45.9,"Transient cerebral ischemic attack, unspecified",E11.9,Type 2 diabetes mellitus without complications,2024-09-05 09:30:00,2024-09-13 00:30:00,13,9,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Jansone
05.06.2025 09:09,76,2,,3,05.06.2025 09:32,13,3,transferred,Stroke unit,K202500295,020549-40710,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2025-06-05 10:03:00,2025-06-10 22:03:00,10,6,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Lapiņš
2024-05-11 15:39:00,62,1,,3,2024-05-11 17:54:00,5,1,Transferred,Stroke unit,K202400296,050462-99746,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",11.05.2024 18:22,13.05.2024 19:22,13,5,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Liepiņa
2025-09-10 08:34:00,83,1,,2,2025-09-10 11:22:00,6,3,Hospitalized,Stroke unit,K202500297, 050442-75529 ,I64,"Stroke, not specified as hemorrhage or infarction",E11.9,Type 2 diabetes mellitus without complications,2025-09-10 11:26:00,2025-09-10 19:26:00,10,9,2025,2,Transferred to another hospital,303,ICU,20,Intensīvā terapija,Bērziņa
18.01.2024 19:16,75,1,,3,2024-01-18 21:12:00,1,4,Hospitalized,,K202400298,230849-53917,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",2024-01-18 21:44:00,2024-01-28 06:44:00,28,1,2024,2 ,Discharged home,202,Stroke unit,30,Internal medicine,Jansone
2025-06-21 19:50:00,82,2,,3,21/06/2025 20:14,7,2,Hospitalized,Stroke unit,K202500299,060443-21016,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",21/06/2025 20:51,22.06.2025 22:51,22,6,2025,9,Transferred to another hospital,202,Stroke unit,10,Neurology,Lapiņš
2025-07-10 04:49:00,80,1,,2,2025-07-10 07:50:00,9,1,Outpatient,ICU,K202500300,100545-90685,I64,"Stroke, not specified as hemorrhage or infarction",J18.9,"Pneumonia, unspecified organism",2025-07-10 08:12:00,2025-07-12 08:12:00,12,7,2025,4,Continues treatment,202,Stroke unit,10 ,Neurology,Romanovs
2025-02-04 03:51:00,61,2,,1,04.02.2025 05:06,12,1,Outpatient,Neurology,K202500301,,G45.9,"Transient cerebral ischemic attack, unspecified",J18.9,"Pneumonia, unspecified organism",04/02/2025 05:10,2025-02-14 08:10:00,14,2,2025,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Avotiņš
2025-11-11 16:07:00,66,1,,3,2025-11-11 18:49:00,9,4,Hospitalized,ICU,K202500302,040221-61871,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2025-11-11 19:19:00,2025-11-17 03:19:00,17,11,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Vītola
2025-07-25 03:27:00,76,2,,3,25/07/2025 05:43,13,2,Hospitalized,Stroke unit,K202500303,140744-63778,I63.9,"Cerebral infarction, unspecified",S72.0,Fracture of neck of femur,2025-07-25 06:04:00,2025-08-01 17:04:00,1,8,2025,4,Continues treatment,202,Stroke unit,10,Neurology,Bērziņa
23.08.2024 00:36,79,1,x,1,23.08.2024 01:45,4,1,Hospitalized,Neurology,K202400304,260245-89168,G45.9,"Transient cerebral ischemic attack, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2024-08-23 02:08:00,2024-09-07 00:08:00,7,9,2024,2,Transferred to another hospital,404,Admission ward,10,Neurology,Bērziņa
2024-02-04 13:04:00,71,1,,2,2024-02-04 15:03:00,9,4,Hospitalized,Neurology,K202400305,240253-32145,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",04.02.2024 15:08,07.02.2024 14:08,7,2,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Romanovs
2024-07-22 22:05:00,73,2,,1,2024-07-22 23:57:00,9,2,Hospitalized,Stroke unit,K202400306,090751-93461,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",23/07/2024 00:36,01/08/2024 17:36,1,8,2024,4,Continues treatment,101,Neurology ward,10,Neurology,Balodis
03/12/2025 00:57,88,2,,1,2025-12-03 01:31:00,7,1,Hospitalized,ICU,K202500307,270137-78697,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2025-12-03 01:55:00,2025-12-05 22:55:00,5,12,2025,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Bērziņa
2024-12-22 22:24:00,64,2,,1,2024-12-23 01:17:00,11,1,Transferred,Stroke unit,K202400308,161060-70852,G45.9,"Transient cerebral ischemic attack, unspecified",R56.8,Other and unspecified convulsions,2024-12-23 01:37:00,2024-12-26 04:37:00,31,12,2024,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Jansone
2025-10-26 11:14:00,79,2,,3,2025-10-26 14:05:00,10,1,Hospitalized,,K202500309,100946-92040,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",2025-10-26 14:25:00,02.11.2025 07:25,2,11,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Pavlovs
20.03.2025 17:56,69,2,,1,2025-03-20 19:30:00,6,4,Hospitalized,Stroke unit,K202500310,210856-88017,G45.9,"Transient cerebral ischemic attack, unspecified",G51.0,Bell's palsy,20.03.2025 20:12,2025-03-24 19:12:00,24,3,2025,4,Continues treatment,202,Stroke unit,10,Neurology,Miezītis
2024-07-22 18:55:00,69,2,,1,22.07.2024 20:04,12,2,transferred,Home,K202400311,150955-45908,G45.9,"Transient cerebral ischemic attack, unspecified",K35.8,"Acute appendicitis, other and unspecified",22.07.2024 20:20,2024-07-30 02:20:00,30,7,2024,2,Transferred to another hospital,303,ICU,20,Intensīvā terapija,Andersone
2025-02-17 22:44:00,86,2,,3,2025-02-17 23:20:00,15,4,Transferred,Neurology,K202500312,091139-82964,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,2025-02-17 23:43:00,2025-03-02 12:43:00,2,3,2025,1,Discharged home,101,Neurology ward,10,Neurology,Pavlovs
2024-07-23 06:47:00,59,2,,2,23.07.2024 09:09,13,1,Hospitalized,Neurology,K202400313,100842-85342,I64,"Stroke, not specified as hemorrhage or infarction",A41.9,"Sepsis, unspecified organism",2024-07-23 09:15:00,24/07/2024 09:15,24,7,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Pavlovs
2025-04-26 05:20:00,82,2,,3,26/04/2025 07:28,9,2,Hospitalized,Stroke unit,K202500314,180643-69998,I63.9,"Cerebral infarction, unspecified",N39.0,"Urinary tract infection, site not specified",2025-04-26 07:32:00,2025-05-03 12:32:00,3,5,2025,1,Discharged home,101,Neurology ward,10,Neurology,Jansone
2024-10-31 02:20:00,88,1,,2,2024-10-31 03:47:00,14,1,Hospitalized,Home,K202400315,071236-59861,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",2024-10-31 04:04:00,2024-11-09 21:04:00,9,11,2024,1,Discharged home,404,Admission ward,10,Neurology,Liepiņa
08.06.2025 01:57,72,1,,3,08/06/2025 02:19,1,2,transferred,Another hospital,K202500316,210253-94355,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",08.06.2025 02:22,2025-06-09 19:22:00,9,6,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Kalniņa
08/08/2024 11:07,80,1,,2,2024-08-08 11:53:00,1,1,Hospitalized,Home,K202400317,020844-28919,I64,"Stroke, not specified as hemorrhage or infarction",I50.9,"Heart failure, unspecified",08/08/2024 12:06,2024-08-22 02:06:00,22,8,2024,1,Discharged home,303,ICU,10 ,Intensīvā terapija,Krūmiņa
2025-01-09 01:57:00,67,2,,3,09/01/2025 02:39,10,4,Hospitalized,Neurology,K202500318,041058-42739,I63.9,"Cerebral infarction, unspecified",R56.8,Other and unspecified convulsions,2025-01-09 03:12:00,2025-01-12 12:12:00,12,1,2025,2 ,Discharged home,101,Neurology ward,10,Neurology,Balodis
2024-01-21 20:34:00,76,1,,3,2024-01-21 21:52:00,9,1,Transferred,Stroke unit,K202400319,040848-46609,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",21.01.2024 22:05,03.02.2024 13:05,3,2,2024,9,Discharged home,404,Admission ward,30,Internal medicine,Pavlovs
2024-06-10 20:31:00,70,2,,1,2024-06-10 22:17:00,10,3,Hospitalized,Home,K202400320,240454-56391,G45.9,"Transient cerebral ischemic attack, unspecified",I50.9,"Heart failure, unspecified",2024-06-10 22:39:00,2024-06-22 03:39:00,22,6,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Bērziņš
2025-09-09 12:25:00,73,2,,1,09.09.2025 14:25,9,3,Hospitalized,Stroke unit,K202500321,201052-18757,G45.9,"Transient cerebral ischemic attack, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",2025-09-09 14:46:00,2025-09-16 07:46:00,16,9,2025,1,Discharged home,101,Neurology ward,30,Internal medicine,Liepiņa
